variant,date_num,prob,SE,df,asymp.LCL,asymp.UCL,date,totcases,cases,smoothed_totcases,smoothed_cases
Delta,18348,3.107195342254752e-50,2.1051965832008233e-49,NA,-3.8153899492249165e-49,4.4368290176758676e-49,2020-03-27,243,NA,95.40923993828369,NA
Beta,18348,8.468084510013049e-7,2.755364660072712e-7,NA,3.067669011996087e-7,1.3868500008030011e-6,2020-03-27,243,NA,95.40923993828369,NA
Alpha,18348,8.287902895874181e-24,4.935817336586565e-23,NA,-8.84523392439066e-23,1.0502814503565498e-22,2020-03-27,243,NA,95.40923993828369,NA
C.1.2,18348,3.132333001161865e-63,6.189519672224291e-62,NA,-1.181800233904558e-61,1.2444468939277955e-61,2020-03-27,243,NA,95.40923993828369,NA
Other,18348,0.9999991531915491,2.7553646606558606e-7,NA,0.9999986131499992,0.999999693233099,2020-03-27,243,242.99979422554642,95.40923993828369,95.40915914493301
Omicron,18348,1.3397455402779867e-43,9.714983022219681e-43,NA,-1.770127129369067e-42,2.0380762374246644e-42,2020-03-27,243,NA,95.40923993828369,NA
Delta,18349,4.687531103789613e-50,3.1641959650775544e-49,NA,-5.7329570212000024e-49,6.670463241957925e-49,2020-03-28,17,NA,95.69799575913892,NA
Beta,18349,9.152210504469859e-7,2.962400655254817e-7,NA,3.3460119123925623e-7,1.4958409096547156e-6,2020-03-28,17,NA,95.69799575913892,NA
Alpha,18349,1.0260860436832876e-23,6.086331685717218e-23,NA,-1.0902904858287413e-22,1.2955076945653987e-22,2020-03-28,17,NA,95.69799575913892,NA
C.1.2,18349,5.17336844594629e-63,1.0185961287042432e-61,NA,-1.944678042592779e-61,2.0481454115117046e-61,2020-03-28,17,NA,95.69799575913892,NA
Other,18349,0.9999990847789495,2.962400655126409e-7,NA,0.9999985041590903,0.9999996653988087,2020-03-28,17,16.99998444124214,95.69799575913892,95.69790817431871
Omicron,18349,1.5035960454181265e-43,1.08755934688801e-42,NA,-1.9812175464085897e-42,2.2819367554922152e-42,2020-03-28,17,NA,95.69799575913892,NA
Delta,18350,7.070977740234824e-50,4.755412926905106e-49,NA,-8.613340294326729e-49,1.0027535842373693e-48,2020-03-29,93,NA,94.79540949318657,NA
Beta,18350,9.891340804863932e-7,3.184827673953999e-7,NA,3.6491932669476205e-7,1.6133488342780244e-6,2020-03-29,93,NA,94.79540949318657,NA
Alpha,18350,1.2702730950638183e-23,7.504466577897645e-23,NA,-1.3438211120800111e-22,1.5978757310927748e-22,2020-03-29,93,NA,94.79540949318657,NA
C.1.2,18350,8.543382660686229e-63,1.6760725112302676e-61,NA,-3.1996079308820666e-61,3.370475584095791e-61,2020-03-29,93,NA,94.79540949318657,NA
Other,18350,0.9999990108659195,3.18482767400618e-7,NA,0.9999983866511657,0.9999996350806732,2020-03-29,93,92.9999080105305,94.79540949318657,94.79531572781636
Omicron,18350,1.6875272542640882e-43,1.2175199321327347e-42,NA,-2.2175424920134016e-42,2.555047942866219e-42,2020-03-29,93,NA,94.79540949318657,NA
Delta,18351,1.0665289492603617e-49,7.146039089709696e-49,NA,-1.2939450298686033e-48,1.5072508197206755e-48,2020-03-30,46,NA,92.97175462961621,NA
Beta,18351,1.0689863245652111e-6,3.4237726214589184e-7,NA,3.9793922163383445e-7,1.7400334274965878e-6,2020-03-30,46,NA,92.97175462961621,NA
Alpha,18351,1.5724738722698003e-23,9.252317160003416e-23,NA,-1.6561734534878808e-22,1.9706682279418407e-22,2020-03-30,46,NA,92.97175462961621,NA
C.1.2,18351,1.4107012284809254e-62,2.7575731715214923e-61,NA,-5.263673978067924e-61,5.5458142237641094e-61,2020-03-30,46,NA,92.97175462961621,NA
Other,18351,0.9999989310136754,3.423772621554079e-7,NA,0.9999982599665724,0.9999996020607784,2020-03-30,46,45.99995082662907,92.97175462961621,92.97165524408194
Omicron,18351,1.894007400833125e-43,1.363050448104694e-42,NA,-2.4821290473130693e-42,2.860930527479694e-42,2020-03-30,46,NA,92.97175462961621,NA
Delta,18352,1.6085029622204713e-49,1.0737247869286327e-48,NA,-1.9436116154660158e-48,2.26531220791011e-48,2020-03-31,27,NA,90.51096612333912,NA
Beta,18352,1.1552511827400325e-6,3.680443243094443e-7,NA,4.3389756237914236e-7,1.8766048031009226e-6,2020-03-31,27,NA,90.51096612333912,NA
Alpha,18352,1.9464426972852453e-23,1.1406344010431931e-22,NA,-2.0409580758435495e-22,2.4302466153005985e-22,2020-03-31,27,NA,90.51096612333912,NA
C.1.2,18352,2.329092503687811e-62,4.5363076185391354e-61,NA,-8.658090304762583e-61,9.123908805500147e-61,2020-03-31,27,NA,90.51096612333912,NA
Other,18352,0.9999988447488173,3.6804432432023157e-7,NA,0.9999981233951969,0.9999995661024377,2020-03-31,27,26.999968808218068,90.51096612333912,90.51086156043846
Omicron,18352,2.1258092493268604e-43,1.526022917445996e-42,NA,-2.778369032844205e-42,3.203530882709577e-42,2020-03-31,27,NA,90.51096612333912,NA
Delta,18353,2.425634096616997e-49,1.6131292051630703e-48,NA,-2.9191117348676414e-48,3.40423855419104e-48,2020-04-01,27,NA,87.6889811205261,NA
Beta,18353,1.2484393627439813e-6,3.9561337694007914e-7,NA,4.730513921391576e-7,2.0238273333488047e-6,2020-04-01,27,NA,87.6889811205261,NA
Alpha,18353,2.4091868302206576e-23,1.4060685282124128e-22,NA,-2.5149249920695037e-22,2.996762358113635e-22,2020-04-01,27,NA,87.6889811205261,NA
C.1.2,18353,3.8448792854506293e-62,7.461341387116359e-61,NA,-1.423947246656113e-60,1.5008448323651253e-60,2020-04-01,27,NA,87.6889811205261,NA
Other,18353,0.9999987515606372,3.9561337694471554e-7,NA,0.9999979761726666,0.9999995269486078,2020-04-01,27,26.999966292137206,87.6889811205261,87.68887164615037
Omicron,18353,2.3860478389332742e-43,1.708535465161749e-42,NA,-3.110063194133088e-42,3.5872727619197427e-42,2020-04-01,27,NA,87.6889811205261,NA
